points;parameters;xmin;xmax;ymin;ymax
1500000;[[-0.383, -0.9, -0.24, 1.248, -0.141, 1.462, -1.279, -0.523, 0.151, 1.574], [0.506, 1.437, -1.752, -0.097, 1.647, 1.993, -0.692, 1.231, 1.741, -1.997]];-0.39;0.0;-0.22;0.55
1500000;[[-0.415, -0.979, -0.29, 1.406, -0.208, 1.51, -1.176, -0.538, 0.25, 1.374], [0.507, 1.209, -1.759, -0.015, 1.541, 1.97, -0.529, 1.177, 1.743, -1.924]];-0.49;0.06;-0.28;0.73
1500000;[[-0.38, -0.972, -0.821, 1.175, -0.161, 1.634, -1.476, -0.425, -0.216, 1.548], [0.605, 0.761, -1.608, -0.182, 1.759, 1.263, -0.564, 1.05, 0.391, -2.127]];-0.55;0.03;-0.26;0.79
1500000;[[-0.327, -0.718, -0.769, 1.115, 0.071, 1.46, -1.28, -0.436, -0.054, 1.444], [0.428, 1.066, -1.753, -0.211, 1.701, 1.565, -0.599, 1.134, 1.007, -1.96]];-0.48;0.12;-0.49;0.7
1500000;[[-0.473, 0.812, 0.969, 1.48, 0.889, 1.936, -1.225, -0.847, -2.968, -2.88], [-0.162, -0.965, -1.49, 0.965, 0.236, 2.345, 1.202, 0.821, -1.532, -2.874]];-0.8;0.11;-0.69;0.0
1500000;[[-0.485, -1.026, 0.047, 1.293, -0.441, 1.639, -1.16, -0.444, 0.206, 1.376], [0.491, 1.335, -1.921, -0.237, 1.825, 1.84, -0.755, 1.175, 1.53, -2.224]];-0.54;0.06;-0.56;0.79
1500000;[[0.285, 0.233, -0.058, -1.689, -0.143, -0.114, 1.754, -1.587, -1.331, 2.167], [-0.316, -0.651, 1.11, 1.324, -0.151, -1.638, -0.537, -1.118, 0.244, 2.338]];-0.4;0.69;-0.66;0.2
1500000;[[-0.293, -1.073, -0.713, 0.971, -0.282, 1.911, -1.264, -0.449, -0.358, 1.445], [0.689, 0.843, -1.737, -0.392, 1.792, 1.456, -0.558, 1.073, 0.644, -2.085]];-0.48;0.0;0.0;0.73
1500000;[[-0.49, -1.087, -0.055, 1.234, -0.443, 1.58, -1.143, -0.465, 0.157, 1.394], [0.536, 1.277, -1.929, -0.215, 1.847, 1.796, -0.735, 1.149, 1.556, -2.218]];-0.51;0.0;-0.28;0.62
1500000;[[-0.296, -1.068, -0.816, 0.937, -0.27, 1.881, -1.218, -0.452, -0.34, 1.499], [0.738, 0.892, -1.689, -0.447, 1.735, 1.433, -0.549, 0.995, 0.553, -2.018]];-0.5;0.0;0.0;0.79
1500000;[[-0.39, -0.903, -0.316, 1.21, -0.23, 1.525, -1.225, -0.487, 0.112, 1.484], [0.493, 1.404, -1.793, -0.235, 1.635, 1.892, -0.651, 1.352, 1.614, -2.008]];-0.43;0.06;-0.35;0.64
1500000;[[-0.41, -0.923, -0.273, 1.214, -0.142, 1.562, -1.253, -0.427, 0.151, 1.489], [0.481, 1.324, -1.753, -0.149, 1.66, 1.878, -0.662, 1.314, 1.624, -2.008]];-0.41;0.0;-0.21;0.48
1500000;[[-0.473, -1.014, 0.064, 1.312, -0.458, 1.638, -1.149, -0.459, 0.197, 1.394], [0.492, 1.331, -1.927, -0.223, 1.825, 1.848, -0.745, 1.184, 1.535, -2.231]];-0.54;0.04;-0.5;0.81
1500000;[[-0.298, -1.072, -0.803, 0.919, -0.258, 1.893, -1.233, -0.448, -0.342, 1.489], [0.734, 0.892, -1.68, -0.431, 1.752, 1.452, -0.542, 0.998, 0.555, -2.025]];-0.49;0.0;0.0;0.74
1500000;[[-0.486, -1.104, -0.039, 1.274, -0.543, 1.585, -1.248, -0.459, 0.144, 1.332], [0.471, 1.234, -1.933, -0.246, 1.812, 1.864, -0.789, 1.193, 1.527, -2.234]];-0.51;0.0;-0.44;0.67
1500000;[[-0.284, -1.085, -0.877, 0.949, -0.268, 1.917, -1.213, -0.425, -0.393, 1.473], [0.77, 0.846, -1.751, -0.455, 1.772, 1.315, -0.509, 0.942, 0.553, -1.997]];-0.53;0.14;-0.11;0.94
